drug_id,drug_name,approval_authority
333,Drug_357,FDA
397,Drug_272,FDA
422,Drug_446,FDA
19,Drug_168,FDA
184,Drug_246,FDA
12,Drug_289,FDA
459,Drug_184,EMA
477,Drug_55,EMA
63,Drug_376,EMA
478,Drug_159,EMA
10,Drug_55,EMA
214,Drug_43,FDA
448,Drug_410,FDA
292,Drug_193,EMA
86,Drug_443,EMA
471,Drug_310,EMA
234,Drug_468,EMA
387,Drug_23,FDA
271,Drug_9,EMA
150,Drug_399,FDA
459,Drug_463,EMA
459,Drug_58,FDA
433,Drug_162,FDA
469,Drug_44,EMA
457,Drug_338,EMA
177,Drug_411,FDA
341,Drug_382,FDA
313,Drug_452,EMA
412,Drug_410,FDA
272,Drug_246,FDA
457,Drug_196,FDA
485,Drug_312,FDA
488,Drug_476,EMA
273,Drug_4,FDA
283,Drug_170,EMA
134,Drug_454,EMA
207,Drug_81,FDA
210,Drug_189,EMA
270,Drug_477,EMA
331,Drug_324,FDA
4,Drug_315,EMA
173,Drug_422,EMA
156,Drug_453,EMA
213,Drug_277,EMA
210,Drug_376,EMA
322,Drug_206,FDA
328,Drug_66,EMA
420,Drug_212,EMA
139,Drug_37,FDA
164,Drug_274,EMA
70,Drug_477,EMA
216,Drug_18,EMA
342,Drug_391,EMA
11,Drug_203,EMA
482,Drug_193,EMA
489,Drug_93,FDA
14,Drug_195,FDA
124,Drug_224,FDA
109,Drug_46,FDA
358,Drug_226,FDA
253,Drug_1,EMA
471,Drug_118,EMA
50,Drug_345,FDA
9,Drug_377,FDA
211,Drug_133,EMA
417,Drug_377,EMA
131,Drug_145,FDA
351,Drug_385,FDA
9,Drug_498,FDA
497,Drug_339,FDA
238,Drug_68,FDA
445,Drug_354,FDA
318,Drug_6,EMA
376,Drug_185,FDA
296,Drug_435,EMA
474,Drug_407,FDA
361,Drug_452,FDA
422,Drug_8,EMA
223,Drug_134,EMA
167,Drug_151,EMA
496,Drug_49,FDA
4,Drug_266,EMA
38,Drug_199,FDA
13,Drug_467,EMA
171,Drug_22,EMA
328,Drug_395,EMA
285,Drug_49,EMA
26,Drug_448,FDA
380,Drug_175,EMA
34,Drug_488,FDA
79,Drug_168,FDA
246,Drug_143,FDA
382,Drug_151,EMA
430,Drug_166,EMA
469,Drug_426,FDA
305,Drug_395,FDA
418,Drug_37,FDA
206,Drug_488,EMA
35,Drug_306,FDA
325,Drug_15,EMA
206,Drug_338,EMA
114,Drug_332,EMA
300,Drug_202,FDA
93,Drug_179,FDA
209,Drug_465,EMA
449,Drug_293,EMA
306,Drug_125,EMA
437,Drug_377,EMA
219,Drug_29,FDA
497,Drug_210,EMA
329,Drug_314,EMA
144,Drug_109,EMA
53,Drug_365,FDA
319,Drug_90,EMA
163,Drug_151,EMA
268,Drug_284,FDA
443,Drug_147,FDA
145,Drug_165,EMA
210,Drug_223,FDA
348,Drug_303,FDA
28,Drug_310,EMA
244,Drug_446,FDA
452,Drug_342,FDA
439,Drug_29,FDA
299,Drug_192,EMA
183,Drug_55,FDA
485,Drug_65,EMA
94,Drug_222,EMA
220,Drug_1,FDA
463,Drug_209,FDA
140,Drug_8,FDA
164,Drug_121,EMA
403,Drug_451,EMA
6,Drug_429,FDA
303,Drug_56,FDA
20,Drug_301,EMA
16,Drug_370,EMA
32,Drug_182,FDA
395,Drug_395,FDA
209,Drug_40,EMA
187,Drug_40,EMA
437,Drug_472,FDA
276,Drug_45,FDA
231,Drug_49,FDA
367,Drug_269,FDA
142,Drug_129,FDA
9,Drug_6,FDA
174,Drug_71,EMA
394,Drug_279,EMA
397,Drug_382,FDA
500,Drug_64,EMA
384,Drug_431,EMA
271,Drug_404,FDA
215,Drug_48,FDA
230,Drug_140,EMA
484,Drug_284,EMA
221,Drug_329,FDA
434,Drug_34,FDA
274,Drug_147,EMA
79,Drug_410,FDA
59,Drug_123,FDA
21,Drug_398,EMA
122,Drug_70,FDA
215,Drug_260,EMA
203,Drug_407,FDA
224,Drug_56,FDA
410,Drug_459,FDA
428,Drug_194,EMA
69,Drug_375,FDA
448,Drug_211,FDA
268,Drug_388,FDA
481,Drug_55,EMA
77,Drug_49,EMA
70,Drug_106,FDA
186,Drug_280,FDA
488,Drug_32,EMA
451,Drug_492,EMA
369,Drug_337,FDA
430,Drug_362,FDA
154,Drug_183,FDA
209,Drug_251,EMA
440,Drug_415,EMA
17,Drug_22,FDA
499,Drug_453,EMA
191,Drug_21,EMA
236,Drug_174,FDA
104,Drug_42,FDA
459,Drug_420,FDA
52,Drug_33,FDA
334,Drug_193,FDA
38,Drug_286,FDA
106,Drug_413,FDA
40,Drug_347,EMA
399,Drug_231,EMA
259,Drug_215,FDA
114,Drug_175,FDA
220,Drug_372,EMA
83,Drug_182,EMA
425,Drug_16,EMA
314,Drug_494,EMA
494,Drug_491,FDA
95,Drug_300,FDA
474,Drug_431,EMA
362,Drug_201,FDA
437,Drug_445,FDA
364,Drug_498,FDA
446,Drug_379,EMA
206,Drug_260,FDA
215,Drug_363,EMA
124,Drug_26,EMA
93,Drug_408,EMA
272,Drug_278,FDA
154,Drug_45,FDA
269,Drug_158,FDA
230,Drug_132,FDA
321,Drug_464,FDA
455,Drug_34,EMA
250,Drug_478,FDA
99,Drug_194,EMA
304,Drug_229,FDA
290,Drug_432,EMA
416,Drug_140,FDA
222,Drug_449,FDA
285,Drug_391,EMA
89,Drug_441,FDA
97,Drug_79,EMA
59,Drug_121,FDA
258,Drug_22,EMA
155,Drug_69,FDA
474,Drug_221,EMA
463,Drug_339,FDA
86,Drug_5,FDA
344,Drug_474,EMA
366,Drug_317,EMA
55,Drug_381,FDA
63,Drug_88,EMA
446,Drug_246,FDA
466,Drug_45,EMA
56,Drug_232,EMA
203,Drug_240,EMA
365,Drug_383,EMA
16,Drug_483,FDA
307,Drug_359,FDA
402,Drug_165,EMA
203,Drug_480,FDA
40,Drug_3,FDA
398,Drug_340,EMA
321,Drug_179,FDA
475,Drug_500,EMA
43,Drug_236,EMA
295,Drug_250,EMA
286,Drug_142,EMA
75,Drug_264,EMA
56,Drug_97,EMA
154,Drug_246,FDA
440,Drug_206,FDA
425,Drug_268,FDA
295,Drug_239,EMA
44,Drug_64,EMA
254,Drug_390,EMA
221,Drug_287,FDA
387,Drug_234,FDA
366,Drug_110,EMA
127,Drug_291,EMA
475,Drug_268,FDA
236,Drug_450,FDA
485,Drug_329,FDA
326,Drug_79,EMA
40,Drug_27,EMA
95,Drug_462,FDA
494,Drug_85,FDA
180,Drug_363,FDA
33,Drug_301,EMA
485,Drug_118,EMA
141,Drug_461,FDA
30,Drug_486,FDA
486,Drug_76,EMA
473,Drug_469,FDA
5,Drug_10,FDA
243,Drug_294,EMA
134,Drug_500,FDA
404,Drug_296,EMA
449,Drug_231,FDA
385,Drug_422,FDA
348,Drug_435,EMA
126,Drug_235,FDA
474,Drug_362,FDA
56,Drug_461,EMA
406,Drug_400,FDA
357,Drug_342,FDA
24,Drug_401,FDA
253,Drug_45,FDA
457,Drug_88,FDA
261,Drug_123,FDA
166,Drug_351,EMA
498,Drug_296,EMA
233,Drug_136,EMA
392,Drug_491,FDA
394,Drug_6,FDA
492,Drug_406,FDA
79,Drug_177,EMA
141,Drug_8,FDA
499,Drug_390,EMA
90,Drug_437,FDA
348,Drug_374,EMA
22,Drug_500,FDA
111,Drug_55,EMA
258,Drug_459,FDA
299,Drug_365,FDA
198,Drug_266,EMA
215,Drug_123,FDA
65,Drug_227,EMA
275,Drug_82,FDA
76,Drug_267,FDA
107,Drug_316,FDA
10,Drug_146,EMA
377,Drug_261,EMA
77,Drug_371,FDA
206,Drug_233,FDA
79,Drug_323,FDA
400,Drug_10,EMA
23,Drug_10,EMA
180,Drug_284,FDA
209,Drug_57,FDA
218,Drug_467,EMA
250,Drug_388,FDA
199,Drug_257,FDA
108,Drug_332,FDA
426,Drug_336,EMA
223,Drug_188,FDA
13,Drug_428,EMA
407,Drug_130,EMA
235,Drug_20,FDA
286,Drug_104,EMA
485,Drug_378,FDA
367,Drug_99,FDA
25,Drug_321,FDA
75,Drug_293,FDA
412,Drug_267,EMA
41,Drug_168,FDA
69,Drug_238,EMA
430,Drug_326,FDA
141,Drug_197,EMA
110,Drug_342,EMA
277,Drug_286,FDA
421,Drug_109,EMA
8,Drug_246,FDA
395,Drug_305,FDA
77,Drug_366,EMA
20,Drug_428,FDA
212,Drug_420,FDA
145,Drug_207,EMA
488,Drug_364,FDA
143,Drug_11,EMA
105,Drug_55,EMA
225,Drug_355,FDA
368,Drug_273,FDA
173,Drug_338,FDA
59,Drug_215,EMA
131,Drug_174,EMA
363,Drug_232,FDA
468,Drug_225,FDA
277,Drug_226,FDA
424,Drug_461,EMA
40,Drug_269,FDA
32,Drug_144,EMA
427,Drug_301,EMA
342,Drug_499,EMA
89,Drug_166,EMA
262,Drug_17,EMA
9,Drug_418,FDA
498,Drug_333,FDA
179,Drug_249,FDA
235,Drug_297,EMA
16,Drug_163,FDA
330,Drug_183,FDA
182,Drug_173,EMA
119,Drug_325,EMA
105,Drug_301,FDA
354,Drug_141,FDA
8,Drug_79,EMA
172,Drug_153,FDA
150,Drug_25,EMA
243,Drug_176,FDA
280,Drug_423,FDA
90,Drug_413,EMA
372,Drug_496,EMA
463,Drug_455,EMA
190,Drug_491,FDA
4,Drug_339,FDA
230,Drug_439,EMA
247,Drug_163,FDA
385,Drug_152,EMA
260,Drug_192,EMA
252,Drug_446,EMA
107,Drug_496,EMA
23,Drug_55,EMA
376,Drug_398,EMA
413,Drug_460,EMA
69,Drug_404,EMA
331,Drug_450,EMA
500,Drug_320,FDA
323,Drug_459,FDA
449,Drug_367,FDA
114,Drug_412,EMA
450,Drug_121,EMA
149,Drug_111,EMA
205,Drug_228,EMA
403,Drug_404,EMA
382,Drug_240,EMA
140,Drug_133,EMA
296,Drug_169,EMA
14,Drug_135,EMA
385,Drug_187,EMA
323,Drug_221,FDA
321,Drug_384,EMA
386,Drug_451,FDA
307,Drug_288,EMA
237,Drug_195,FDA
426,Drug_386,EMA
208,Drug_389,FDA
306,Drug_253,EMA
250,Drug_311,FDA
109,Drug_441,FDA
123,Drug_254,FDA
397,Drug_403,EMA
81,Drug_99,FDA
335,Drug_221,EMA
244,Drug_492,FDA
15,Drug_10,FDA
480,Drug_378,FDA
383,Drug_386,FDA
465,Drug_109,EMA
126,Drug_101,FDA
478,Drug_317,FDA
382,Drug_340,EMA
431,Drug_346,EMA
211,Drug_156,EMA
495,Drug_229,EMA
474,Drug_461,FDA
23,Drug_387,FDA
169,Drug_75,EMA
47,Drug_200,FDA
306,Drug_250,FDA
26,Drug_497,EMA
456,Drug_41,FDA
389,Drug_263,FDA
158,Drug_291,EMA
219,Drug_77,EMA
242,Drug_312,FDA
458,Drug_399,FDA
68,Drug_244,FDA
104,Drug_167,FDA
370,Drug_257,FDA
234,Drug_187,FDA
125,Drug_165,EMA
129,Drug_99,FDA
424,Drug_293,EMA
82,Drug_19,FDA
246,Drug_257,FDA
428,Drug_411,EMA
367,Drug_415,FDA
275,Drug_311,EMA
110,Drug_117,FDA
141,Drug_463,FDA
416,Drug_354,FDA
188,Drug_461,FDA
183,Drug_461,FDA
92,Drug_327,FDA
190,Drug_471,FDA
455,Drug_233,FDA
399,Drug_454,FDA
273,Drug_358,FDA
227,Drug_279,EMA
440,Drug_500,FDA
233,Drug_195,EMA
248,Drug_102,EMA
212,Drug_166,EMA
60,Drug_244,FDA
19,Drug_494,EMA
483,Drug_70,FDA
430,Drug_3,FDA
334,Drug_189,EMA
293,Drug_439,FDA
225,Drug_316,FDA
265,Drug_288,FDA
232,Drug_314,FDA
195,Drug_266,EMA
220,Drug_111,FDA
29,Drug_62,FDA
322,Drug_428,FDA
30,Drug_367,FDA
213,Drug_450,EMA
312,Drug_151,FDA
252,Drug_11,FDA
220,Drug_8,FDA
31,Drug_61,EMA
304,Drug_347,FDA
325,Drug_127,FDA
23,Drug_269,EMA
317,Drug_281,FDA
171,Drug_497,FDA
96,Drug_80,EMA
32,Drug_471,EMA
162,Drug_16,EMA
467,Drug_156,FDA
311,Drug_394,EMA
250,Drug_48,FDA
227,Drug_373,FDA
120,Drug_86,FDA
62,Drug_199,FDA
439,Drug_483,EMA
66,Drug_294,FDA
189,Drug_202,FDA
495,Drug_212,FDA
6,Drug_177,FDA
42,Drug_194,FDA
482,Drug_390,EMA
477,Drug_302,FDA
30,Drug_116,FDA
389,Drug_444,FDA
465,Drug_41,EMA
141,Drug_475,FDA
479,Drug_419,FDA
211,Drug_259,FDA
201,Drug_211,FDA
300,Drug_475,EMA
410,Drug_57,EMA
49,Drug_166,FDA
403,Drug_498,EMA
450,Drug_55,EMA
86,Drug_374,EMA
214,Drug_17,FDA
128,Drug_141,EMA
458,Drug_247,EMA
288,Drug_244,EMA
212,Drug_48,EMA
294,Drug_22,EMA
143,Drug_79,EMA
311,Drug_478,FDA
498,Drug_215,FDA
449,Drug_439,FDA
171,Drug_199,FDA
292,Drug_114,FDA
162,Drug_381,EMA
238,Drug_353,EMA
422,Drug_145,FDA
247,Drug_71,EMA
196,Drug_64,EMA
308,Drug_151,FDA
353,Drug_330,EMA
389,Drug_484,FDA
262,Drug_7,EMA
45,Drug_426,FDA
386,Drug_249,FDA
340,Drug_302,EMA
179,Drug_25,FDA
1,Drug_446,EMA
349,Drug_11,EMA
229,Drug_2,EMA
349,Drug_330,EMA
371,Drug_469,FDA
247,Drug_128,FDA
414,Drug_283,EMA
222,Drug_274,EMA
238,Drug_4,EMA
301,Drug_269,EMA
301,Drug_306,FDA
129,Drug_181,EMA
393,Drug_346,EMA
352,Drug_72,FDA
85,Drug_444,EMA
469,Drug_249,FDA
386,Drug_398,EMA
424,Drug_108,FDA
394,Drug_453,EMA
285,Drug_69,EMA
76,Drug_442,EMA
170,Drug_320,FDA
329,Drug_143,EMA
463,Drug_336,FDA
39,Drug_461,EMA
235,Drug_66,EMA
320,Drug_167,EMA
78,Drug_447,FDA
41,Drug_87,FDA
99,Drug_13,FDA
499,Drug_383,FDA
25,Drug_246,FDA
442,Drug_297,FDA
148,Drug_357,EMA
438,Drug_86,FDA
161,Drug_28,FDA
211,Drug_114,EMA
86,Drug_316,FDA
107,Drug_269,EMA
98,Drug_173,EMA
207,Drug_421,FDA
215,Drug_460,FDA
440,Drug_498,EMA
238,Drug_293,EMA
14,Drug_222,EMA
390,Drug_103,EMA
208,Drug_486,EMA
298,Drug_473,FDA
364,Drug_354,FDA
89,Drug_336,FDA
90,Drug_227,EMA
270,Drug_255,EMA
210,Drug_279,FDA
161,Drug_341,FDA
483,Drug_262,FDA
269,Drug_2,FDA
246,Drug_178,EMA
282,Drug_380,EMA
393,Drug_435,FDA
265,Drug_35,FDA
318,Drug_321,EMA
369,Drug_253,FDA
166,Drug_348,FDA
223,Drug_453,FDA
83,Drug_130,FDA
325,Drug_199,FDA
74,Drug_15,FDA
20,Drug_417,EMA
6,Drug_317,FDA
241,Drug_135,FDA
345,Drug_125,EMA
461,Drug_497,EMA
320,Drug_312,FDA
175,Drug_136,FDA
206,Drug_262,FDA
125,Drug_137,FDA
23,Drug_379,EMA
450,Drug_331,EMA
185,Drug_93,EMA
474,Drug_150,EMA
174,Drug_311,EMA
224,Drug_130,FDA
356,Drug_366,FDA
397,Drug_380,EMA
271,Drug_191,FDA
57,Drug_63,FDA
76,Drug_295,FDA
354,Drug_264,FDA
103,Drug_362,EMA
388,Drug_206,FDA
247,Drug_314,EMA
440,Drug_36,EMA
73,Drug_232,FDA
152,Drug_443,FDA
241,Drug_349,EMA
17,Drug_116,FDA
390,Drug_360,FDA
136,Drug_294,FDA
275,Drug_198,EMA
489,Drug_201,EMA
82,Drug_420,FDA
34,Drug_194,EMA
117,Drug_288,EMA
445,Drug_346,FDA
381,Drug_93,EMA
81,Drug_235,EMA
389,Drug_499,FDA
246,Drug_434,EMA
456,Drug_463,FDA
314,Drug_80,EMA
313,Drug_86,FDA
278,Drug_201,FDA
226,Drug_124,FDA
1,Drug_232,FDA
362,Drug_330,FDA
54,Drug_293,FDA
422,Drug_439,FDA
418,Drug_471,EMA
196,Drug_202,EMA
287,Drug_99,FDA
403,Drug_106,FDA
80,Drug_290,FDA
110,Drug_104,EMA
354,Drug_79,FDA
357,Drug_22,FDA
158,Drug_445,EMA
314,Drug_473,FDA
454,Drug_86,EMA
333,Drug_73,EMA
119,Drug_20,EMA
86,Drug_466,EMA
153,Drug_245,EMA
263,Drug_493,FDA
176,Drug_106,EMA
165,Drug_233,EMA
215,Drug_353,FDA
369,Drug_203,EMA
93,Drug_195,EMA
316,Drug_149,EMA
378,Drug_29,FDA
371,Drug_325,EMA
371,Drug_149,FDA
127,Drug_181,EMA
479,Drug_272,EMA
125,Drug_314,FDA
106,Drug_340,FDA
63,Drug_208,EMA
116,Drug_442,FDA
228,Drug_93,FDA
130,Drug_106,FDA
383,Drug_165,EMA
448,Drug_331,FDA
456,Drug_324,EMA
65,Drug_203,EMA
46,Drug_233,FDA
384,Drug_115,FDA
322,Drug_441,FDA
313,Drug_439,FDA
24,Drug_351,FDA
273,Drug_158,FDA
336,Drug_62,FDA
207,Drug_430,EMA
364,Drug_413,FDA
55,Drug_325,EMA
85,Drug_13,FDA
165,Drug_306,FDA
383,Drug_236,FDA
112,Drug_18,EMA
279,Drug_442,EMA
61,Drug_99,EMA
55,Drug_11,FDA
237,Drug_158,EMA
200,Drug_123,EMA
132,Drug_471,FDA
165,Drug_379,EMA
88,Drug_221,FDA
12,Drug_57,EMA
323,Drug_53,EMA
81,Drug_355,EMA
445,Drug_340,FDA
486,Drug_129,EMA
333,Drug_175,FDA
238,Drug_300,EMA
355,Drug_65,EMA
188,Drug_406,FDA
25,Drug_60,FDA
129,Drug_279,EMA
140,Drug_218,EMA
396,Drug_325,FDA
126,Drug_192,FDA
459,Drug_126,FDA
316,Drug_196,FDA
8,Drug_47,EMA
183,Drug_200,FDA
81,Drug_395,EMA
111,Drug_352,EMA
498,Drug_158,EMA
110,Drug_294,EMA
437,Drug_227,EMA
352,Drug_114,FDA
322,Drug_303,FDA
70,Drug_392,EMA
112,Drug_246,FDA
61,Drug_332,FDA
207,Drug_35,FDA
75,Drug_44,EMA
145,Drug_328,EMA
136,Drug_196,EMA
200,Drug_141,EMA
229,Drug_103,FDA
232,Drug_427,FDA
472,Drug_463,EMA
66,Drug_58,EMA
25,Drug_174,EMA
115,Drug_408,FDA
423,Drug_331,EMA
145,Drug_266,EMA
77,Drug_52,EMA
194,Drug_425,EMA
408,Drug_68,FDA
406,Drug_206,EMA
185,Drug_184,FDA
402,Drug_360,EMA
95,Drug_314,FDA
74,Drug_242,EMA
236,Drug_207,EMA
51,Drug_74,FDA
17,Drug_116,EMA
79,Drug_194,EMA
337,Drug_424,EMA
348,Drug_342,FDA
177,Drug_48,FDA
286,Drug_310,EMA
320,Drug_41,EMA
268,Drug_463,EMA
73,Drug_58,FDA
96,Drug_328,EMA
323,Drug_263,FDA
333,Drug_97,EMA
110,Drug_96,FDA
234,Drug_366,FDA
127,Drug_325,FDA
496,Drug_40,EMA
489,Drug_274,EMA
15,Drug_263,EMA
485,Drug_119,FDA
463,Drug_149,FDA
188,Drug_485,EMA
479,Drug_450,FDA
403,Drug_175,EMA
148,Drug_99,EMA
458,Drug_294,EMA
219,Drug_234,EMA
246,Drug_42,FDA
238,Drug_7,EMA
394,Drug_460,EMA
66,Drug_105,EMA
92,Drug_357,EMA
448,Drug_140,FDA
324,Drug_129,EMA
495,Drug_144,EMA
104,Drug_100,EMA
121,Drug_326,EMA
5,Drug_272,FDA
279,Drug_254,EMA
59,Drug_134,FDA
154,Drug_353,EMA
200,Drug_391,FDA
394,Drug_180,EMA
290,Drug_386,EMA
281,Drug_315,EMA
143,Drug_241,EMA
62,Drug_18,EMA
31,Drug_418,EMA
323,Drug_28,EMA
445,Drug_180,FDA
112,Drug_93,FDA
53,Drug_95,EMA
97,Drug_444,EMA
175,Drug_69,EMA
296,Drug_203,FDA
186,Drug_78,EMA
5,Drug_302,FDA
100,Drug_261,FDA
339,Drug_455,EMA
98,Drug_271,FDA
305,Drug_191,EMA
489,Drug_228,FDA
356,Drug_195,FDA
200,Drug_423,FDA
318,Drug_381,FDA
292,Drug_153,EMA
364,Drug_311,EMA
179,Drug_361,EMA
7,Drug_320,EMA
328,Drug_66,EMA
376,Drug_154,EMA
161,Drug_64,FDA
130,Drug_489,FDA
442,Drug_79,EMA
331,Drug_323,FDA
360,Drug_96,EMA
48,Drug_60,FDA
472,Drug_408,EMA
424,Drug_332,FDA
202,Drug_7,FDA
185,Drug_330,FDA
81,Drug_202,FDA
445,Drug_439,EMA
179,Drug_362,EMA
288,Drug_124,EMA
478,Drug_400,FDA
98,Drug_80,FDA
278,Drug_280,FDA
413,Drug_80,FDA
449,Drug_125,EMA
30,Drug_246,EMA
54,Drug_486,FDA
498,Drug_134,EMA
183,Drug_337,EMA
227,Drug_472,EMA
99,Drug_253,FDA
12,Drug_331,EMA
155,Drug_365,EMA
483,Drug_300,EMA
351,Drug_247,FDA
438,Drug_319,FDA
444,Drug_497,FDA
308,Drug_151,FDA
245,Drug_198,EMA
26,Drug_203,FDA
322,Drug_255,FDA
452,Drug_350,EMA
33,Drug_43,EMA
372,Drug_394,FDA
179,Drug_39,EMA
495,Drug_9,FDA
67,Drug_235,FDA
14,Drug_206,FDA
344,Drug_245,EMA
441,Drug_239,EMA
350,Drug_464,EMA
424,Drug_379,EMA
257,Drug_336,FDA
60,Drug_440,EMA
426,Drug_138,EMA
16,Drug_216,FDA
474,Drug_62,EMA
271,Drug_141,FDA
295,Drug_251,EMA
82,Drug_451,EMA
303,Drug_473,FDA
428,Drug_281,EMA
44,Drug_211,EMA
362,Drug_63,FDA
350,Drug_113,FDA
438,Drug_26,EMA
71,Drug_308,FDA
213,Drug_478,EMA
226,Drug_138,EMA
164,Drug_352,FDA
104,Drug_318,FDA
325,Drug_182,EMA
388,Drug_310,EMA
180,Drug_370,EMA
32,Drug_353,FDA
314,Drug_183,FDA
33,Drug_199,FDA
123,Drug_464,FDA
132,Drug_285,EMA
32,Drug_331,FDA
51,Drug_409,FDA
432,Drug_499,FDA
431,Drug_272,FDA
338,Drug_449,EMA
297,Drug_397,EMA
267,Drug_484,EMA
487,Drug_321,FDA
431,Drug_282,FDA
395,Drug_253,EMA
199,Drug_486,FDA
269,Drug_211,EMA
334,Drug_78,EMA
50,Drug_135,FDA
280,Drug_406,FDA
491,Drug_34,EMA
489,Drug_356,FDA
436,Drug_167,EMA
187,Drug_484,FDA
357,Drug_406,FDA
71,Drug_417,FDA
31,Drug_414,FDA
111,Drug_289,FDA
330,Drug_134,EMA
97,Drug_5,FDA
492,Drug_101,EMA
500,Drug_214,EMA
219,Drug_377,FDA
357,Drug_389,FDA
126,Drug_106,EMA
492,Drug_77,EMA
8,Drug_350,EMA
71,Drug_428,EMA
28,Drug_291,FDA
486,Drug_346,FDA
350,Drug_350,EMA
423,Drug_83,EMA
149,Drug_56,FDA
436,Drug_498,EMA
410,Drug_345,FDA
175,Drug_237,EMA
118,Drug_443,EMA
40,Drug_30,EMA
376,Drug_141,EMA
174,Drug_484,FDA
285,Drug_171,EMA
21,Drug_341,FDA
201,Drug_457,FDA
113,Drug_8,FDA
370,Drug_290,EMA
290,Drug_231,EMA
7,Drug_337,EMA
445,Drug_202,EMA
341,Drug_139,FDA
441,Drug_302,EMA
139,Drug_231,FDA
129,Drug_399,FDA
158,Drug_145,EMA
430,Drug_235,EMA
364,Drug_276,EMA
165,Drug_162,EMA
63,Drug_488,FDA
277,Drug_447,EMA
106,Drug_254,EMA
436,Drug_21,EMA
136,Drug_236,FDA
463,Drug_249,FDA
153,Drug_122,FDA
196,Drug_356,FDA
386,Drug_219,EMA
191,Drug_95,EMA
244,Drug_473,FDA
472,Drug_367,FDA
429,Drug_463,FDA
185,Drug_428,FDA
122,Drug_468,FDA
54,Drug_238,FDA
365,Drug_412,FDA
278,Drug_19,FDA
36,Drug_346,EMA
199,Drug_317,EMA
172,Drug_498,EMA
47,Drug_488,FDA
401,Drug_456,FDA
414,Drug_339,EMA
239,Drug_392,EMA
154,Drug_107,FDA
294,Drug_172,EMA
387,Drug_150,EMA
475,Drug_390,EMA
259,Drug_467,FDA
1,Drug_137,FDA
65,Drug_121,EMA
315,Drug_425,EMA
328,Drug_235,FDA
176,Drug_179,FDA
337,Drug_70,EMA
52,Drug_391,FDA
178,Drug_254,EMA
107,Drug_292,FDA
170,Drug_145,EMA
353,Drug_385,EMA
172,Drug_89,FDA
158,Drug_342,FDA
68,Drug_63,FDA
197,Drug_91,FDA
131,Drug_307,EMA
224,Drug_296,FDA
130,Drug_457,EMA
266,Drug_465,FDA
