trial_id,outcome,adverse_effect,cost_usd
86,Ongoing,None,1072.25
6307,Success,None,17266.03
3025,Failure,Mild,29945.44
13164,Failure,Severe,25367.2
13484,Success,None,10862.51
4181,Ongoing,None,17620.86
12583,Ongoing,Severe,12845.41
8108,Failure,None,8303.37
6635,Success,Severe,33195.82
5004,Failure,Mild,38241.17
3141,Success,Mild,37830.13
3820,Success,Mild,40916.23
13183,Success,Severe,47241.07
10573,Failure,None,43152.54
12624,Ongoing,Severe,13182.28
261,Failure,Mild,18908.95
10858,Ongoing,Mild,37540.45
5754,Failure,Mild,9876.66
749,Ongoing,Severe,19572.86
12839,Success,Severe,14023.48
11015,Success,Severe,27610.39
337,Failure,None,10403.62
11181,Failure,Mild,34924.0
315,Ongoing,Mild,31970.44
6723,Failure,Severe,11751.28
10375,Failure,Mild,25152.3
5314,Success,Mild,27717.5
8032,Failure,None,24080.04
8611,Success,Mild,19959.77
6358,Failure,Severe,17354.04
1569,Success,Mild,28330.05
6880,Ongoing,Mild,12440.75
