trial_id,study_id,study_phase
138,171,Phase 2
139,146,Phase 3
140,93,Phase 2
141,39,Phase 1
142,105,Phase 3
143,151,Phase 2
144,38,Phase 3
145,150,Phase 2
146,180,Phase 3
147,44,Phase 1
148,76,Phase 1
149,72,Phase 1
150,12,Phase 1
151,42,Phase 1
152,156,Phase 3
153,23,Phase 2
154,74,Phase 2
155,31,Phase 3
156,101,Phase 3
157,61,Phase 3
158,98,Phase 2
159,6,Phase 1
160,181,Phase 1
161,182,Phase 3
162,107,Phase 2
163,195,Phase 1
164,188,Phase 3
165,136,Phase 3
166,132,Phase 3
167,162,Phase 3
168,159,Phase 1
169,90,Phase 3
170,90,Phase 3
171,188,Phase 3
172,98,Phase 1
173,24,Phase 2
174,119,Phase 2
175,155,Phase 1
176,75,Phase 3
177,2,Phase 3
178,64,Phase 2
179,129,Phase 3
180,63,Phase 3
181,92,Phase 3
182,124,Phase 1
183,195,Phase 2
184,180,Phase 3
185,6,Phase 3
186,117,Phase 3
187,183,Phase 2
188,30,Phase 2
189,64,Phase 3
190,3,Phase 2
191,64,Phase 1
192,39,Phase 1
193,189,Phase 2
194,70,Phase 1
195,64,Phase 1
196,21,Phase 1
197,181,Phase 1
198,181,Phase 3
199,155,Phase 2
200,135,Phase 3
201,114,Phase 2
202,39,Phase 2
203,52,Phase 2
204,31,Phase 2
205,180,Phase 3
206,23,Phase 3
207,155,Phase 1
208,78,Phase 1
209,178,Phase 3
210,138,Phase 1
211,175,Phase 3
212,148,Phase 2
213,63,Phase 3
214,127,Phase 2
215,4,Phase 1
216,79,Phase 2
217,23,Phase 3
218,140,Phase 2
219,122,Phase 1
220,185,Phase 3
221,26,Phase 3
222,196,Phase 3
223,150,Phase 3
224,65,Phase 2
225,178,Phase 2
226,137,Phase 3
227,60,Phase 2
228,60,Phase 3
229,119,Phase 3
230,167,Phase 1
231,22,Phase 2
232,119,Phase 1
233,182,Phase 2
234,112,Phase 1
235,90,Phase 3
236,52,Phase 2
237,13,Phase 3
238,183,Phase 1
239,189,Phase 3
240,167,Phase 3
241,77,Phase 1
242,33,Phase 1
243,174,Phase 2
244,167,Phase 3
245,93,Phase 3
246,71,Phase 3
247,61,Phase 1
248,158,Phase 3
249,84,Phase 2
250,14,Phase 3
251,97,Phase 2
252,121,Phase 3
253,37,Phase 3
254,158,Phase 3
255,189,Phase 1
256,115,Phase 1
257,151,Phase 3
258,82,Phase 2
259,118,Phase 2
260,126,Phase 1
261,170,Phase 1
262,105,Phase 3
263,130,Phase 2
264,36,Phase 2
265,60,Phase 2
266,76,Phase 2
267,168,Phase 1
268,52,Phase 3
269,40,Phase 3
270,13,Phase 2
271,64,Phase 3
272,110,Phase 2
273,3,Phase 2
274,144,Phase 2
275,167,Phase 2
276,196,Phase 1
277,194,Phase 3
278,26,Phase 3
279,18,Phase 1
280,109,Phase 3
281,117,Phase 1
282,195,Phase 1
283,65,Phase 2
284,1,Phase 2
285,56,Phase 3
286,33,Phase 2
287,145,Phase 2
288,7,Phase 2
289,197,Phase 3
290,68,Phase 2
291,72,Phase 2
292,24,Phase 1
293,86,Phase 3
294,65,Phase 1
295,39,Phase 2
296,108,Phase 3
297,81,Phase 1
298,40,Phase 1
299,37,Phase 3
300,112,Phase 1
301,79,Phase 1
302,198,Phase 2
303,102,Phase 1
304,22,Phase 2
305,35,Phase 3
306,161,Phase 3
307,49,Phase 1
308,17,Phase 3
309,77,Phase 3
310,100,Phase 2
311,77,Phase 2
312,88,Phase 3
313,75,Phase 1
314,118,Phase 2
315,15,Phase 2
316,177,Phase 1
317,81,Phase 1
318,90,Phase 1
319,133,Phase 3
320,180,Phase 3
321,143,Phase 2
322,10,Phase 3
323,146,Phase 3
324,35,Phase 3
325,159,Phase 2
326,9,Phase 3
327,132,Phase 2
328,144,Phase 3
329,117,Phase 1
330,156,Phase 1
331,32,Phase 2
332,62,Phase 3
333,189,Phase 3
334,76,Phase 3
335,99,Phase 2
336,139,Phase 1
337,189,Phase 1
338,192,Phase 3
339,43,Phase 1
340,62,Phase 3
341,175,Phase 3
342,105,Phase 1
343,91,Phase 2
344,200,Phase 2
345,40,Phase 2
346,126,Phase 1
347,186,Phase 1
348,140,Phase 1
349,64,Phase 2
350,125,Phase 3
351,21,Phase 1
352,143,Phase 3
353,168,Phase 3
354,105,Phase 3
355,184,Phase 2
356,16,Phase 1
357,114,Phase 3
358,199,Phase 3
359,43,Phase 3
360,153,Phase 1
361,57,Phase 3
362,148,Phase 3
363,194,Phase 2
364,11,Phase 3
365,74,Phase 2
366,142,Phase 3
367,10,Phase 2
368,87,Phase 3
369,10,Phase 1
370,134,Phase 1
371,137,Phase 3
372,75,Phase 3
373,146,Phase 2
374,197,Phase 2
375,140,Phase 2
376,100,Phase 3
377,55,Phase 1
378,194,Phase 2
379,125,Phase 3
380,189,Phase 2
381,106,Phase 1
382,122,Phase 3
383,8,Phase 2
384,62,Phase 3
385,123,Phase 3
386,90,Phase 3
387,37,Phase 2
388,163,Phase 2
389,37,Phase 2
390,40,Phase 2
391,169,Phase 3
392,101,Phase 2
393,169,Phase 1
394,10,Phase 1
395,115,Phase 3
396,48,Phase 2
397,27,Phase 2
398,129,Phase 3
399,149,Phase 3
400,27,Phase 2
401,144,Phase 2
402,37,Phase 3
403,181,Phase 2
404,179,Phase 2
405,62,Phase 1
406,135,Phase 2
407,35,Phase 2
408,44,Phase 1
409,55,Phase 3
410,57,Phase 3
411,199,Phase 3
412,136,Phase 3
413,167,Phase 3
414,151,Phase 2
415,79,Phase 1
416,190,Phase 3
417,22,Phase 1
418,126,Phase 1
419,131,Phase 2
420,28,Phase 1
421,121,Phase 1
422,80,Phase 1
423,177,Phase 3
424,188,Phase 1
425,176,Phase 2
426,46,Phase 1
427,157,Phase 1
428,57,Phase 1
429,85,Phase 2
430,60,Phase 1
431,22,Phase 2
432,183,Phase 3
433,56,Phase 3
434,54,Phase 1
435,99,Phase 3
436,91,Phase 1
437,58,Phase 2
438,200,Phase 2
439,83,Phase 1
440,133,Phase 1
441,197,Phase 3
442,4,Phase 2
443,172,Phase 3
444,91,Phase 3
445,113,Phase 2
446,179,Phase 1
447,156,Phase 3
448,155,Phase 3
449,45,Phase 1
450,28,Phase 1
451,31,Phase 1
452,173,Phase 1
453,137,Phase 2
454,132,Phase 1
455,116,Phase 3
456,18,Phase 2
457,68,Phase 2
458,164,Phase 3
459,176,Phase 1
460,33,Phase 1
461,112,Phase 1
462,178,Phase 3
463,110,Phase 3
464,177,Phase 3
465,115,Phase 3
466,199,Phase 3
467,91,Phase 1
468,106,Phase 1
469,173,Phase 2
470,167,Phase 2
471,165,Phase 1
472,200,Phase 3
473,129,Phase 2
474,52,Phase 3
475,177,Phase 3
476,193,Phase 1
477,69,Phase 3
478,23,Phase 2
479,23,Phase 1
480,179,Phase 1
481,110,Phase 1
482,186,Phase 3
483,185,Phase 3
484,86,Phase 3
485,196,Phase 1
486,133,Phase 1
487,140,Phase 2
488,122,Phase 1
489,47,Phase 3
490,79,Phase 1
491,85,Phase 2
492,55,Phase 2
493,15,Phase 2
494,68,Phase 2
495,79,Phase 3
496,105,Phase 2
497,149,Phase 3
498,179,Phase 1
499,9,Phase 3
500,93,Phase 3
501,46,Phase 3
502,159,Phase 3
503,169,Phase 2
504,147,Phase 2
505,165,Phase 2
506,85,Phase 1
507,124,Phase 3
508,176,Phase 2
509,9,Phase 2
510,158,Phase 2
511,142,Phase 2
512,155,Phase 2
513,163,Phase 3
514,18,Phase 3
515,36,Phase 1
516,27,Phase 2
517,65,Phase 2
518,76,Phase 2
519,58,Phase 3
520,121,Phase 1
521,13,Phase 2
522,200,Phase 2
523,185,Phase 1
524,47,Phase 1
525,200,Phase 3
526,146,Phase 3
527,182,Phase 2
528,134,Phase 3
529,118,Phase 3
530,141,Phase 1
531,196,Phase 3
532,132,Phase 1
533,18,Phase 3
534,125,Phase 3
535,198,Phase 1
536,39,Phase 1
537,149,Phase 3
538,100,Phase 2
539,130,Phase 2
540,37,Phase 1
541,32,Phase 3
542,148,Phase 1
543,103,Phase 3
544,11,Phase 1
545,103,Phase 1
546,127,Phase 2
547,54,Phase 3
548,136,Phase 2
549,79,Phase 1
550,30,Phase 2
551,27,Phase 3
552,174,Phase 1
553,35,Phase 2
554,87,Phase 2
555,138,Phase 1
556,78,Phase 1
557,116,Phase 1
558,67,Phase 1
559,67,Phase 1
560,199,Phase 3
561,184,Phase 2
562,13,Phase 3
563,14,Phase 2
564,191,Phase 2
565,80,Phase 1
566,89,Phase 2
567,174,Phase 1
568,171,Phase 3
569,145,Phase 2
570,152,Phase 1
571,164,Phase 2
572,15,Phase 1
573,20,Phase 3
574,102,Phase 1
575,135,Phase 2
576,2,Phase 3
577,167,Phase 2
578,52,Phase 2
579,50,Phase 3
580,30,Phase 1
581,93,Phase 3
582,2,Phase 1
583,124,Phase 3
584,172,Phase 1
585,76,Phase 1
586,164,Phase 3
587,164,Phase 3
588,162,Phase 1
589,183,Phase 3
590,17,Phase 1
591,117,Phase 3
592,158,Phase 2
593,128,Phase 2
594,40,Phase 1
595,188,Phase 3
596,42,Phase 3
597,43,Phase 3
598,3,Phase 3
599,105,Phase 3
600,194,Phase 2
601,57,Phase 2
602,155,Phase 2
603,57,Phase 3
604,58,Phase 3
605,195,Phase 2
606,93,Phase 1
607,80,Phase 2
608,25,Phase 2
609,97,Phase 2
610,147,Phase 3
611,78,Phase 2
612,62,Phase 2
613,134,Phase 3
614,169,Phase 3
615,150,Phase 1
616,58,Phase 2
617,36,Phase 3
618,160,Phase 3
619,99,Phase 2
620,93,Phase 3
621,32,Phase 3
622,198,Phase 3
623,183,Phase 3
624,127,Phase 1
625,28,Phase 2
626,51,Phase 1
627,4,Phase 1
628,64,Phase 2
629,2,Phase 1
630,23,Phase 3
631,111,Phase 3
632,36,Phase 2
633,185,Phase 3
634,127,Phase 3
635,55,Phase 2
636,90,Phase 2
637,13,Phase 3
638,93,Phase 3
639,5,Phase 1
640,127,Phase 1
641,198,Phase 3
642,29,Phase 3
643,191,Phase 3
644,47,Phase 1
645,20,Phase 1
646,102,Phase 2
647,114,Phase 1
648,89,Phase 2
649,87,Phase 3
650,178,Phase 2
651,176,Phase 1
652,181,Phase 3
653,116,Phase 2
654,84,Phase 2
655,180,Phase 2
656,139,Phase 1
657,123,Phase 1
658,128,Phase 3
659,160,Phase 3
660,26,Phase 1
661,99,Phase 2
662,15,Phase 1
663,184,Phase 2
664,135,Phase 1
665,138,Phase 1
666,77,Phase 2
667,98,Phase 1
668,150,Phase 1
669,71,Phase 2
670,150,Phase 1
671,163,Phase 2
672,67,Phase 2
673,126,Phase 2
674,18,Phase 1
675,70,Phase 1
676,192,Phase 3
677,132,Phase 2
678,22,Phase 2
679,38,Phase 3
680,150,Phase 2
681,2,Phase 2
682,175,Phase 2
683,139,Phase 3
684,85,Phase 3
685,190,Phase 3
686,70,Phase 3
687,70,Phase 3
688,28,Phase 2
689,135,Phase 2
690,143,Phase 2
691,13,Phase 3
692,41,Phase 1
693,156,Phase 2
694,91,Phase 3
695,133,Phase 2
696,36,Phase 3
697,154,Phase 3
698,168,Phase 3
699,126,Phase 2
700,181,Phase 3
701,142,Phase 1
702,84,Phase 3
703,64,Phase 3
704,88,Phase 1
705,25,Phase 1
706,158,Phase 3
707,36,Phase 2
708,195,Phase 2
709,147,Phase 1
710,45,Phase 1
711,96,Phase 2
712,175,Phase 1
713,37,Phase 3
714,196,Phase 3
715,165,Phase 2
716,182,Phase 1
717,1,Phase 1
718,133,Phase 2
719,45,Phase 1
720,142,Phase 1
721,51,Phase 2
722,98,Phase 2
723,116,Phase 2
724,171,Phase 3
725,152,Phase 3
726,5,Phase 1
727,49,Phase 2
728,125,Phase 3
729,19,Phase 2
730,36,Phase 3
731,70,Phase 1
732,142,Phase 1
733,143,Phase 1
734,152,Phase 3
735,149,Phase 1
736,187,Phase 3
737,69,Phase 3
738,97,Phase 2
739,59,Phase 2
740,34,Phase 1
741,52,Phase 3
742,161,Phase 1
743,50,Phase 2
744,136,Phase 3
745,146,Phase 3
746,66,Phase 3
747,53,Phase 3
748,197,Phase 2
749,54,Phase 2
750,61,Phase 3
751,97,Phase 2
752,50,Phase 2
753,193,Phase 1
754,158,Phase 1
755,56,Phase 2
756,53,Phase 3
757,1,Phase 3
758,11,Phase 1
759,198,Phase 2
760,189,Phase 2
761,5,Phase 3
762,132,Phase 1
763,86,Phase 1
764,60,Phase 1
765,118,Phase 1
766,144,Phase 3
767,190,Phase 1
768,84,Phase 1
769,37,Phase 1
770,180,Phase 2
771,56,Phase 3
772,21,Phase 1
773,94,Phase 3
774,120,Phase 2
775,124,Phase 2
776,154,Phase 2
777,98,Phase 3
778,198,Phase 1
779,175,Phase 3
780,19,Phase 3
781,128,Phase 3
782,193,Phase 2
783,15,Phase 3
784,155,Phase 1
785,117,Phase 3
786,182,Phase 1
787,85,Phase 2
788,97,Phase 3
789,184,Phase 3
790,53,Phase 1
791,161,Phase 1
792,24,Phase 3
793,41,Phase 2
794,16,Phase 1
795,106,Phase 3
796,189,Phase 1
797,117,Phase 2
798,22,Phase 1
799,85,Phase 1
800,89,Phase 1
801,117,Phase 2
802,49,Phase 2
803,161,Phase 3
804,161,Phase 2
805,166,Phase 3
806,128,Phase 3
807,144,Phase 2
808,82,Phase 1
809,90,Phase 1
810,126,Phase 2
811,188,Phase 1
812,15,Phase 2
813,59,Phase 1
814,158,Phase 1
815,11,Phase 2
816,15,Phase 2
817,42,Phase 2
818,47,Phase 1
819,2,Phase 3
820,145,Phase 3
821,164,Phase 1
822,167,Phase 3
823,58,Phase 2
824,45,Phase 3
825,101,Phase 2
826,5,Phase 1
827,164,Phase 3
828,35,Phase 3
829,107,Phase 1
830,119,Phase 2
831,172,Phase 1
832,38,Phase 1
833,98,Phase 1
834,75,Phase 3
835,162,Phase 2
836,4,Phase 1
837,50,Phase 3
838,119,Phase 3
839,48,Phase 3
840,39,Phase 3
841,153,Phase 2
842,188,Phase 2
843,120,Phase 2
844,139,Phase 1
845,65,Phase 3
846,105,Phase 2
847,55,Phase 2
848,86,Phase 1
849,196,Phase 3
850,190,Phase 2
851,160,Phase 1
852,28,Phase 2
853,91,Phase 1
854,58,Phase 2
855,18,Phase 1
856,164,Phase 1
857,173,Phase 2
858,46,Phase 3
859,194,Phase 2
860,144,Phase 2
861,87,Phase 2
862,118,Phase 3
863,143,Phase 3
864,77,Phase 1
865,19,Phase 1
866,182,Phase 2
867,86,Phase 2
868,77,Phase 1
869,33,Phase 3
870,169,Phase 1
871,171,Phase 1
872,86,Phase 3
873,147,Phase 2
874,9,Phase 1
875,33,Phase 3
876,155,Phase 3
877,194,Phase 3
878,53,Phase 2
879,170,Phase 3
880,124,Phase 3
881,82,Phase 2
882,198,Phase 1
883,121,Phase 1
884,152,Phase 2
885,61,Phase 1
886,187,Phase 1
887,105,Phase 3
888,180,Phase 3
889,63,Phase 3
890,156,Phase 2
891,45,Phase 2
892,173,Phase 3
893,34,Phase 1
894,102,Phase 1
895,126,Phase 3
896,80,Phase 2
897,101,Phase 2
898,119,Phase 1
899,56,Phase 2
900,71,Phase 3
901,106,Phase 3
902,184,Phase 3
903,98,Phase 2
904,61,Phase 3
905,163,Phase 3
906,149,Phase 3
907,173,Phase 3
908,18,Phase 3
909,180,Phase 3
910,63,Phase 2
911,34,Phase 2
912,186,Phase 2
913,178,Phase 3
914,111,Phase 1
915,124,Phase 3
916,46,Phase 1
917,172,Phase 1
918,105,Phase 3
919,74,Phase 1
920,58,Phase 2
921,129,Phase 2
922,7,Phase 3
923,165,Phase 3
924,103,Phase 2
925,124,Phase 3
926,89,Phase 2
927,120,Phase 1
928,170,Phase 3
929,151,Phase 3
930,185,Phase 1
931,184,Phase 3
932,187,Phase 1
933,44,Phase 3
934,32,Phase 1
935,132,Phase 1
936,198,Phase 1
937,7,Phase 2
938,88,Phase 2
939,50,Phase 3
940,200,Phase 1
941,173,Phase 2
942,42,Phase 1
943,189,Phase 1
944,128,Phase 3
945,177,Phase 3
946,166,Phase 2
947,138,Phase 3
948,85,Phase 1
949,150,Phase 2
950,38,Phase 2
951,40,Phase 1
952,55,Phase 3
953,48,Phase 3
954,42,Phase 2
955,144,Phase 3
956,179,Phase 3
957,34,Phase 3
958,129,Phase 1
959,65,Phase 1
960,197,Phase 2
961,14,Phase 3
962,109,Phase 2
963,28,Phase 2
964,86,Phase 1
965,90,Phase 1
966,103,Phase 1
967,19,Phase 1
968,114,Phase 3
969,93,Phase 3
970,47,Phase 3
971,87,Phase 3
972,39,Phase 3
973,127,Phase 2
974,73,Phase 3
975,102,Phase 3
976,178,Phase 3
977,140,Phase 3
978,48,Phase 3
979,36,Phase 2
980,44,Phase 2
981,12,Phase 1
982,93,Phase 3
983,56,Phase 1
984,88,Phase 2
985,119,Phase 2
986,71,Phase 2
987,7,Phase 1
988,79,Phase 2
989,159,Phase 2
990,69,Phase 1
991,168,Phase 2
992,38,Phase 2
993,164,Phase 3
994,149,Phase 2
995,98,Phase 3
996,169,Phase 2
997,94,Phase 1
998,26,Phase 3
999,114,Phase 3
1000,195,Phase 2
1001,114,Phase 1
1002,104,Phase 2
1003,104,Phase 2
1004,55,Phase 2
1005,111,Phase 1
1006,84,Phase 1
1007,162,Phase 3
1008,177,Phase 3
1009,71,Phase 3
1010,91,Phase 1
1011,118,Phase 2
1012,190,Phase 1
1013,35,Phase 1
1014,51,Phase 1
1015,49,Phase 1
1016,54,Phase 3
1017,165,Phase 2
1018,121,Phase 2
1019,30,Phase 1
1020,157,Phase 3
1021,81,Phase 2
1022,99,Phase 2
1023,150,Phase 2
1024,41,Phase 2
1025,34,Phase 3
1026,27,Phase 2
1027,28,Phase 1
1028,184,Phase 1
1029,54,Phase 3
1030,112,Phase 1
1031,127,Phase 3
1032,81,Phase 3
1033,92,Phase 3
1034,82,Phase 2
1035,161,Phase 3
1036,79,Phase 1
1037,187,Phase 1
1038,189,Phase 3
1039,167,Phase 3
1040,123,Phase 1
1041,43,Phase 2
1042,168,Phase 1
1043,79,Phase 1
1044,38,Phase 1
1045,40,Phase 2
1046,61,Phase 1
1047,62,Phase 3
1048,109,Phase 1
1049,8,Phase 3
1050,178,Phase 1
1051,15,Phase 1
1052,22,Phase 3
1053,60,Phase 3
1054,121,Phase 2
1055,40,Phase 1
1056,118,Phase 2
1057,139,Phase 2
1058,135,Phase 1
1059,197,Phase 3
1060,79,Phase 2
1061,63,Phase 3
1062,20,Phase 1
1063,51,Phase 1
1064,166,Phase 3
1065,72,Phase 1
1066,107,Phase 1
1067,140,Phase 1
1068,84,Phase 1
1069,193,Phase 2
1070,77,Phase 2
1071,35,Phase 2
1072,177,Phase 1
1073,163,Phase 3
1074,155,Phase 2
1075,115,Phase 1
1076,115,Phase 3
1077,195,Phase 2
1078,67,Phase 3
1079,80,Phase 3
1080,76,Phase 1
1081,73,Phase 1
1082,115,Phase 3
1083,61,Phase 2
1084,162,Phase 2
1085,136,Phase 1
1086,113,Phase 2
1087,23,Phase 1
1088,72,Phase 2
1089,126,Phase 1
1090,171,Phase 1
1091,175,Phase 2
1092,196,Phase 3
1093,109,Phase 2
1094,61,Phase 1
1095,116,Phase 3
1096,165,Phase 3
1097,109,Phase 3
1098,77,Phase 3
1099,104,Phase 2
1100,61,Phase 3
1101,195,Phase 1
1102,57,Phase 3
1103,40,Phase 1
1104,184,Phase 3
1105,139,Phase 3
1106,119,Phase 2
1107,43,Phase 1
1108,31,Phase 1
1109,12,Phase 3
1110,15,Phase 1
1111,56,Phase 2
1112,12,Phase 3
1113,96,Phase 1
1114,163,Phase 3
1115,132,Phase 1
1116,144,Phase 1
1117,126,Phase 2
1118,163,Phase 3
1119,77,Phase 2
1120,108,Phase 3
1121,194,Phase 2
1122,157,Phase 1
1123,42,Phase 2
1124,45,Phase 2
1125,92,Phase 1
1126,63,Phase 2
1127,38,Phase 2
1128,186,Phase 3
1129,169,Phase 1
1130,165,Phase 3
1131,76,Phase 1
1132,72,Phase 1
1133,51,Phase 2
1134,135,Phase 3
1135,72,Phase 1
1136,200,Phase 2
1137,196,Phase 3
1138,123,Phase 1
1139,73,Phase 1
1140,127,Phase 2
1141,126,Phase 1
1142,171,Phase 1
1143,188,Phase 3
1144,87,Phase 1
1145,76,Phase 1
1146,164,Phase 2
1147,147,Phase 2
1148,57,Phase 3
1149,60,Phase 2
1150,59,Phase 1
1151,158,Phase 1
1152,28,Phase 2
1153,50,Phase 2
1154,118,Phase 3
1155,155,Phase 3
1156,34,Phase 3
1157,118,Phase 2
1158,163,Phase 1
1159,140,Phase 2
1160,200,Phase 2
1161,10,Phase 2
1162,159,Phase 1
1163,114,Phase 2
1164,174,Phase 2
1165,187,Phase 2
1166,89,Phase 2
1167,8,Phase 1
1168,29,Phase 2
1169,134,Phase 2
1170,62,Phase 1
1171,63,Phase 2
1172,197,Phase 3
1173,14,Phase 3
1174,30,Phase 1
1175,13,Phase 1
1176,91,Phase 1
1177,4,Phase 3
1178,48,Phase 3
1179,39,Phase 1
1180,187,Phase 3
1181,159,Phase 3
1182,192,Phase 1
1183,144,Phase 2
1184,192,Phase 3
1185,87,Phase 1
1186,113,Phase 3
1187,85,Phase 3
1188,69,Phase 2
1189,165,Phase 3
1190,23,Phase 3
1191,9,Phase 1
1192,132,Phase 1
1193,122,Phase 2
1194,182,Phase 1
1195,144,Phase 3
1196,26,Phase 2
1197,15,Phase 3
1198,21,Phase 3
1199,123,Phase 3
1200,192,Phase 2
1201,152,Phase 1
1202,74,Phase 1
1203,106,Phase 1
1204,179,Phase 2
1205,46,Phase 2
1206,36,Phase 3
1207,45,Phase 2
1208,26,Phase 3
1209,191,Phase 2
1210,154,Phase 2
1211,155,Phase 3
1212,24,Phase 3
1213,57,Phase 2
1214,186,Phase 3
1215,31,Phase 3
1216,199,Phase 3
1217,134,Phase 3
1218,139,Phase 3
1219,114,Phase 1
1220,72,Phase 3
1221,28,Phase 3
1222,98,Phase 1
1223,54,Phase 2
1224,86,Phase 1
1225,58,Phase 2
1226,12,Phase 1
1227,138,Phase 2
1228,46,Phase 2
1229,73,Phase 2
1230,146,Phase 3
1231,42,Phase 3
1232,20,Phase 2
1233,200,Phase 2
1234,91,Phase 1
1235,132,Phase 1
1236,89,Phase 3
1237,81,Phase 3
1238,16,Phase 1
1239,86,Phase 1
1240,151,Phase 2
1241,96,Phase 3
1242,133,Phase 1
1243,105,Phase 1
1244,49,Phase 2
1245,114,Phase 3
1246,1,Phase 1
1247,94,Phase 3
1248,20,Phase 2
1249,120,Phase 3
1250,97,Phase 1
1251,80,Phase 1
1252,153,Phase 2
1253,13,Phase 3
1254,122,Phase 3
1255,170,Phase 3
1256,196,Phase 2
1257,177,Phase 3
1258,69,Phase 3
1259,197,Phase 1
1260,86,Phase 2
1261,55,Phase 2
1262,36,Phase 2
1263,178,Phase 2
1264,45,Phase 1
1265,144,Phase 3
1266,6,Phase 1
1267,193,Phase 1
1268,38,Phase 1
1269,166,Phase 1
1270,89,Phase 2
1271,26,Phase 1
1272,131,Phase 2
1273,26,Phase 3
1274,49,Phase 2
1275,43,Phase 2
1276,15,Phase 3
1277,199,Phase 1
1278,159,Phase 1
1279,126,Phase 3
1280,30,Phase 3
1281,109,Phase 3
1282,127,Phase 3
1283,173,Phase 3
1284,178,Phase 3
1285,166,Phase 2
1286,196,Phase 2
1287,103,Phase 3
1288,128,Phase 2
1289,25,Phase 1
1290,70,Phase 1
1291,135,Phase 2
1292,31,Phase 3
1293,115,Phase 3
1294,93,Phase 1
1295,56,Phase 1
1296,37,Phase 3
1297,52,Phase 1
1298,144,Phase 3
1299,5,Phase 2
1300,105,Phase 1
1301,93,Phase 2
1302,80,Phase 3
1303,116,Phase 2
1304,193,Phase 2
1305,86,Phase 2
1306,36,Phase 1
1307,53,Phase 3
1308,118,Phase 2
1309,147,Phase 3
1310,149,Phase 3
1311,157,Phase 3
1312,166,Phase 3
1313,5,Phase 1
1314,98,Phase 3
1315,97,Phase 3
1316,54,Phase 1
1317,198,Phase 2
1318,160,Phase 3
1319,106,Phase 2
1320,21,Phase 3
1321,69,Phase 2
1322,145,Phase 2
1323,122,Phase 3
1324,169,Phase 2
1325,33,Phase 1
1326,133,Phase 2
1327,182,Phase 3
1328,152,Phase 1
1329,156,Phase 3
1330,143,Phase 1
1331,110,Phase 1
1332,121,Phase 1
1333,180,Phase 1
1334,19,Phase 3
1335,47,Phase 1
1336,67,Phase 3
1337,31,Phase 2
1338,127,Phase 1
1339,29,Phase 1
1340,164,Phase 1
1341,99,Phase 1
1342,42,Phase 2
1343,108,Phase 3
1344,96,Phase 1
1345,5,Phase 1
1346,16,Phase 1
1347,4,Phase 1
1348,111,Phase 3
1349,192,Phase 2
1350,165,Phase 2
1351,161,Phase 2
1352,158,Phase 1
1353,55,Phase 1
1354,174,Phase 1
1355,48,Phase 1
1356,110,Phase 3
1357,167,Phase 2
1358,154,Phase 2
1359,71,Phase 3
1360,73,Phase 2
1361,9,Phase 1
